city_name,locality,locality_id,entity_id,project_name,longitude,lattitude,avg_price,target,active_days,impressions,clicks,sessions,paid_leads,expected_leads,project_conversion,avg_conversion,avg_sessions,avg_bhk,gap,project_demand_status
Noida,Sector 73,6b6b6c204323f2ed6253,326093,JMD Radhe Krishna Appartment,77.38548279,28.58576965,3405375,34.46,14,2300301,11106,1813,157,217,0.09,0.12,742.87,2,123,surplus
Gurgaon,Gwal Pahari,c2bffdb8f25e1bd8d5d5,341236,Rudraa Aroma,77.13441467,28.43650818,6500000,17.61,13,403164,3735,834,124,91,0.15,0.11,512.72,2.5,106,surplus
Gurgaon,Manesar,2a52e859cd4a6bbe9188,356040,M3M GIC,76.94661713,28.36558533,4136344438,5.23,3,144920,1412,1330,104,109,0.08,0.08,331.71,1,99,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,294783,Hark Sai Homes 4,77.37795258,28.56384659,3037200,27.48,14.5,341850,3370,835,124,106,0.15,0.13,930.38,1.5,97,surplus
Gurgaon,Sector 38,1c93ad46265bc5776455,324207,Ashiana Anmol,77.03554535,28.43627167,15248048,28.05,14,708794,9178,1652,125,133,0.08,0.08,994.01,2.5,97,surplus
Noida,Sector 89,62d6e375af34717fff76,339354,Hark Sai Apartment,77.42092896,28.52701759,2592750,53.8,14,759865,8369,2386,145,182,0.06,0.08,1115.5,1.5,91,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,342286,SM Home Tech Global,77.38998413,28.5871563,4650000,44.62,14,4237093,17535,2076,132,248,0.06,0.12,742.87,2.5,87,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,280931,SS Sainik Farms,77.48937225,28.42913628,5443560,19.43,7.5,840130,8264,1615,98,145,0.06,0.09,525.63,2.5,79,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,341329,RN Amod Residency,77.38712311,28.58651543,3600000,20.61,14,151066,2586,510,99,61,0.19,0.12,742.87,2,78,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,49653,Signature Global The Millennia I,76.97668457,28.45191383,7849479,27.61,14.5,157051,2279,1252,103,101,0.08,0.08,467.01,1.5,75,surplus
Noida,Sector 137,5df4eb2660d0207c62b9,131067,Paras Tierea,77.41065979,28.50601578,12659350,54.32,13.5,1013905,13929,1514,126,138,0.08,0.09,400.74,2.5,72,surplus
Gurgaon,Sector 48,b72e60e2c222ac161359,292505,Vipul World,77.0358963,28.41778564,58537500,16.02,14,140794,2656,1134,85,91,0.07,0.08,262.57,2.6666666666666665,69,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,324726,Skyline DN Homes,77.38559723,28.58909988,4177200,32.9,10.5,29225,1425,641,102,77,0.16,0.12,742.87,2.5,69,surplus
Noida,Sector 168,a0c12084ffff526c1ea5,7725,Paras Seasons,77.40814209,28.4955864,10128308,10.46,9,377581,5566,905,78,61,0.09,0.07,402.99,2.5,68,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,128336,Shapoorji Pallonji JoyVille,76.97498322,28.48004341,41991948,4.39,8.5,11160,164,470,69,52,0.15,0.11,225.95,3,65,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,349062,Hark Sai Homes 5,77.37731171,28.56168365,4200225,20.62,14.5,150397,1519,297,86,38,0.29,0.13,930.38,2.5,65,surplus
Noida,Sector 78,bea49e8fda92e93b0916,6531,Sikka Karmic Greens,77.38427734,28.56138039,9789515,10.65,14,86760,1638,619,74,79,0.12,0.13,256.91,2.5,63,surplus
Noida,Sector 78,bea49e8fda92e93b0916,47264,The Antriksh Golf View,77.3863678,28.55794716,16596168,19.35,12,49130,615,316,81,36,0.26,0.11,202.14,3,62,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,251483,Shapoorji Pallonji Joyville Phase 1,76.97498322,28.48004341,29815353,7.1,10,400119,2761,676,69,76,0.10,0.11,250.19,3,62,surplus
Noida,Sector 104,fc04fbb8ad3339541859,297707,VRSA The Ultima Heights,77.3710556,28.54038811,6795615,23.55,13,55488,478,269,84,25,0.31,0.09,295.28,2.5,60,surplus
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,352214,RN JSR Apartment,77.39105225,28.58028793,2650050,18.62,13,70498,1107,270,75,39,0.28,0.14,495,1.5,56,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,346712,JMD Home 73,77.38639832,28.58447838,3300125,22.45,14.5,542332,5360,497,78,59,0.16,0.12,742.87,2,56,surplus
Noida,Sector 81,1344d8c937b6de263ef4,342232,First Golden Residency,77.39699554,28.55002403,5419125,15.36,14,228096,3929,709,69,74,0.10,0.10,651.3,2.5,54,surplus
Noida,Sector 107,5a4dd4bd47e70548d927,12215,Amrapali Heartbeat City,77.37857056,28.54818535,22455670,23.32,14,98155,931,684,75,49,0.11,0.07,229.14,3,52,surplus
Gurgaon,Manesar,2a52e859cd4a6bbe9188,97124,DLF Express Greens,76.94765472,28.35476875,18622065,20.81,14,804367,6554,976,73,82,0.07,0.08,355.96,3.5,52,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,337924,Evermark Provica Homes 2,77.38674164,28.5879364,3824900,26.85,14.5,426855,3291,479,79,57,0.16,0.12,742.87,2,52,surplus
Gurgaon,Sector 99,505aca1f9f7b35ee4c0f,76776,Uppal Gurgaon 99,76.96623993,28.46992111,107775000,7.67,13,179859,3295,518,60,42,0.12,0.08,169.29,1,52,surplus
Gurgaon,Sector 93,c5b52306d6de50f89eda,35412,Signature Global Orchard Avenue,76.93222809,28.41346741,4562950,27.61,14.5,606200,6539,779,78,64,0.10,0.08,451.57,2,50,surplus
Noida,Sector 137,5df4eb2660d0207c62b9,7777,Supertech Ecociti,77.41078949,28.51119995,13425000,11.33,9.5,122745,1807,679,60,62,0.09,0.09,400.74,2.5,49,surplus
Noida,Sector 43,4916f1eaabc036aea74c,254362,Godrej Woods,77.35031891,28.55968094,28555732,5.41,10.5,113779,2358,431,49,32,0.11,0.07,261.47,2.5,44,surplus
Gurgaon,Sector 49,ebd7f89deb5d95bd3ac2,315406,Bargainer Ultra Modren Premium Floors,77.05280304,28.41760063,32500000,11.09,14.5,16291,116,181,55,16,0.30,0.09,133.13,3.5,44,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,42823,Signature Global The Serenas,77.06542206,28.28778839,4224368,18.57,12,155533,3014,1018,62,75,0.06,0.07,515.51,1.5,43,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,127298,Godrej Nurture Phase 1,77.49084473,28.42418861,22353480,7.54,13,842266,9472,831,51,51,0.06,0.06,232.72,3,43,surplus
Gurgaon,Sector 70A,ab64cd141b3d9e250669,260560,BPTP Astaire Garden Floors,77.02277374,28.38395691,53712265,7.67,13,370280,4328,578,50,46,0.09,0.08,199.51,3.5,42,surplus
Gurgaon,Sector 36,e706681c7dfc5fd72048,319751,Krisumi Waterside Residence,76.97799683,28.41469955,96916500,8.18,13,3428,35,140,50,11,0.36,0.08,276.57,2.5,42,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,252119,Signature Global The Millennia 3,76.97935486,28.44655228,6394726,4.12,4,84825,1112,438,46,35,0.11,0.08,467.01,2,42,surplus
Gurgaon,Sector 49,ebd7f89deb5d95bd3ac2,50759,Uppal Southend,77.04637146,28.41049576,35686600,11.15,14.5,88760,1924,669,52,59,0.08,0.09,133.13,2.6666666666666665,41,surplus
Noida,Sector 73,ee0db2c7b3ee63e3780f,351816,Dridha Alpha,77.38551331,28.58167267,4099600,14.45,14,266364,1910,382,54,49,0.14,0.13,592.05,2.5,40,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,37329,Orris Greenopolis,76.94698334,28.4163723,17060129,29.22,13.5,562809,3304,1102,69,87,0.06,0.08,421.23,2.5,40,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,261019,M3M Soulitude,76.94390106,28.4253006,12253860,104.74,13,16621476,12722,2088,143,166,0.07,0.08,479.93,2,38,surplus
Noida,Sector 143,0ad262ac30f7b3b67b65,356019,Dream Shree Shyam Kunj,77.42680359,28.50542259,3748500,16.44,7.5,45854,2630,443,54,54,0.12,0.12,545.22,1,38,surplus
Gurgaon,Sector 113,52523f2e41980d15b990,35393,TATA La Vida,77.01901245,28.53396416,21240000,8.38,11.5,84720,980,780,45,62,0.06,0.08,281.9,3,37,surplus
Noida,Sector 128,087832430cf7f2e7361d,346837,Icon Emporio Homes,77.35610199,28.52260017,4157150,20.77,14,114643,2227,459,58,39,0.13,0.08,492.55,1.5,37,surplus
Gurgaon,Sector 104,0fb158487e3209be89b3,95699,Hero Homes,76.99198151,28.48433685,27500000,16.13,13.5,21911,551,493,52,49,0.11,0.10,306.54,3,36,surplus
Noida,Sector 76,15b8124237251ab13164,3614,Amrapali Silicon City,77.38176727,28.56672478,22557455,11.67,5,99813,950,425,48,32,0.11,0.07,233.71,2.5,36,surplus
Gurgaon,Sector 33,9c8c32b17074956fd396,299573,Central Park Flower Valley Floors And Villas,77.06689453,28.2838726,37811977,3.87,7.5,13382,162,155,40,13,0.26,0.08,191.87,3,36,surplus
Gurgaon,Sector 4,c79e7bc2d4f7da1fa252,287011,Golden Park,77.08110809,28.26113319,18229050,8.64,11,28720,296,194,44,20,0.23,0.10,204.31,1,35,surplus
Gurgaon,Sector 88A,4a0bd6c5d327b49f928e,1124,Godrej Oasis,76.95830536,28.43527794,15040657,18.05,14,263872,2295,527,52,56,0.10,0.11,233.73,2.5,34,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,345410,Avenue 1,77.39122009,28.58016205,3850000,126.55,13,2359388,9574,1957,160,234,0.08,0.12,742.87,2,33,surplus
Noida,Phase 2,32aea7f8e5b029e7aa78,128168,NXT VIP Homes,77.41278076,28.53447342,1004805,24.66,12.5,34269,1847,2375,58,134,0.02,0.06,978.5,1,33,surplus
Gurgaon,Sector 90,90ac38ce1e3b6112bd4c,24830,Shree Green Court,76.92988586,28.40493011,5873292,14.97,14.5,143269,2615,836,47,51,0.06,0.06,402.14,1.5,32,surplus
Gurgaon,Sector 76,5de3fcda2f8d078fd091,199110,Pyramid Pride,76.98728943,28.39420319,6591845,12.59,13,99476,1577,812,45,50,0.06,0.06,496.97,2,32,surplus
Noida,Sector 79,3b7ee9d57f531d378c8d,46928,Sikka Kimaantra Greens,77.39835358,28.56085205,18042180,8.97,14,36821,1179,310,40,28,0.13,0.09,191.64,3.5,31,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,350323,Hark Sai Homes 6,77.37799072,28.56444359,5196375,20.62,14.5,86540,1505,233,51,30,0.22,0.13,930.38,2.5,30,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,254579,Signature Global Park III ,77.06388092,28.29041481,9860291,23.19,14.5,213651,3755,668,53,49,0.08,0.07,515.51,1,30,surplus
Noida,Sector 143,0ad262ac30f7b3b67b65,198072,Galaxy Savitri Vihar,77.42609406,28.50255394,1649700,25.22,11.5,154979,4146,431,55,46,0.13,0.11,528.67,1,30,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,288499,Signature Global City 37D Phase 2,76.96849823,28.44680023,12657593,6.44,12.5,60206,1179,372,35,33,0.09,0.09,331.04,2.5,29,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,297932,Navraj The Antalya,76.97029877,28.44779968,25432000,7.67,13,15060,352,165,37,15,0.22,0.09,272.35,3.5,29,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,351034,A S Homes Apartment,77.39105225,28.58028793,3198825,19.93,14,44274,558,300,49,36,0.16,0.12,742.87,1.5,29,surplus
Noida,Sector 143,0ad262ac30f7b3b67b65,355128,Reality Sarswati Enclave,77.42680359,28.50542259,2250000,26.31,12,59530,2319,331,54,35,0.16,0.11,528.67,1,28,surplus
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,341313,RN Royal Apartment,77.38674164,28.58793259,5250000,32.24,14.5,89862,626,248,60,40,0.24,0.16,511.55,3,28,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,323940,Spiti Greenwood Estate,76.95440674,28.45541,41001291,7.67,13,1262,84,214,36,23,0.17,0.11,154.57,1,28,surplus
Gurgaon,Sector 82,687fcb5c47fc02d36f16,327183,Vatika India Next 2,76.96142578,28.39511299,104542842,7.67,13,3012,38,108,36,9,0.33,0.08,179.07,1,28,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,331816,Nehra Lotus Avenue 2,77.38635254,28.58816338,4150000,49.75,13.5,121457,2110,423,77,51,0.18,0.12,742.87,2.5,27,surplus
Gurgaon,Sector 93,c5b52306d6de50f89eda,326437,Ashiana Amarah Phase 4,76.92556,28.41475296,25350000,4.39,8.5,567,22,43,31,4,0.72,0.09,256.91,3,27,surplus
Gurgaon,Sector 93,c5b52306d6de50f89eda,276351,DLF Gardencity Enclave,76.93470001,28.41623878,17438723,35.45,14,320052,3303,564,61,50,0.11,0.09,256.91,1,26,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,276886,Breez Global Heights 89,76.94358063,28.41194916,6730203,1.94,3,45356,646,528,27,38,0.05,0.07,615.89,2.5,25,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,260949,Signature Global City 37D 1,76.97015381,28.44783211,19397840,10.19,14,150064,1668,423,35,37,0.08,0.09,272.35,2.5,25,surplus
Gurgaon,Sector 104,0fb158487e3209be89b3,1290,Puri Emerald Bay,76.99184418,28.48413849,25112500,5.93,11.5,10542,10,192,31,19,0.16,0.10,306.54,3,25,surplus
Gurgaon,Sector 103,b1f494f6d3b3fd26a1cc,43576,Signature Global Grand IVA,76.98623657,28.50081062,6047066,2.13,3,10030,113,293,27,24,0.09,0.08,462.97,1.5,25,surplus
Gurgaon,Sector 88A,4a0bd6c5d327b49f928e,72413,Vatika Express City Plots,76.9544754,28.43357086,24224873,7.83,13.5,53370,658,194,33,20,0.17,0.11,175.04,1,25,surplus
Gurgaon,Sector 81,a8888c394dbcc6108569,261222,Signature Global City 81,76.94342804,28.38805771,9942335,25.31,13.5,453238,4257,929,50,56,0.05,0.06,521.97,2,25,surplus
Gurgaon,Sector 71,2c74967db31462703673,42344,Signature Global Andour Heights,77.02862549,28.4097271,5398100,3.87,2.5,27692,405,423,29,31,0.07,0.07,397.62,2,25,surplus
Gurgaon,Sector 33,9c8c32b17074956fd396,34603,Breez Global Heights,77.07095337,28.28252983,3715327,2.09,2.5,44300,791,376,27,29,0.07,0.08,410.77,1.5,25,surplus
Gurgaon,Sector 5,056750286012632e2a97,230121,Corona Greens,77.08795166,28.25638962,10676310,9.71,13,13733,487,349,34,21,0.10,0.06,542.88,1,24,surplus
Gurgaon,Manesar,2a52e859cd4a6bbe9188,313197,Swastik Greens,76.88380432,28.38382912,21347847,9.9,13,16955,712,200,34,17,0.17,0.08,355.96,1,24,surplus
Gurgaon,Sector 95A,b982df087daed28dd3bc,42824,Signature Global The Roselia,76.92319489,28.4274807,5278000,14.97,14.5,57506,1049,371,39,24,0.11,0.07,469.72,2.5,24,surplus
Gurgaon,Sector 70A,ab64cd141b3d9e250669,134012,Pyramid Fusion Homes,77.02242279,28.38627815,7476721,17.18,14.5,117418,2686,683,41,51,0.06,0.07,418.41,2,24,surplus
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,44887,Supertech Cape Town,77.39050293,28.57450867,16485495,11.67,5,57917,557,225,35,29,0.16,0.13,218.64,3,23,surplus
Gurgaon,Sector 103,b1f494f6d3b3fd26a1cc,293498,Chintamani,76.98449707,28.49489975,41938605,5.68,11,7083,243,206,29,18,0.14,0.09,244.07,3.5,23,surplus
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,352776,JMD Marvella Homes,77.38920593,28.58067894,4249300,7,7,89641,736,234,30,37,0.13,0.16,511.55,2,23,surplus
Noida,Sector 89,62d6e375af34717fff76,354598,Samriddhi Homes,77.41898346,28.52477074,3318882,20.16,12.5,149478,7740,538,43,49,0.08,0.09,1132.05,2,23,surplus
Gurgaon,Sector 86,fe5388b6cc76451a5b11,267756,GLS Avenue 86,76.94220734,28.40214729,6539609,4.9,4,20690,369,264,28,21,0.11,0.08,385.56,2.5,23,surplus
Noida,Sector 49,5d4b9fb26182972a40a4,287371,Hark Sai Homes 2,77.37796021,28.55963326,2520000,12,4.5,27684,373,125,34,14,0.27,0.11,913.83,1.5,22,surplus
Gurgaon,Dhunela,f2795ee6cc3d5c564404,23957,Ashiana Anmol,77.06716919,28.28768539,13500840,6.74,9.5,15188,326,468,29,32,0.06,0.07,378.51,2.5,22,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,301142,Siwas Green Avenue,77.39135742,28.57991791,6809650,16.13,10,58155,743,263,38,28,0.14,0.11,504.73,3,22,surplus
Gurgaon,Sector 62,18bbd052e821296e7928,35810,Heritage One,77.08878326,28.40282059,35271178,8.12,14,22068,178,121,30,11,0.25,0.09,148.32,3.5,22,surplus
Gurgaon,Sector 79,05f80b391e199362a031,275883,True Bodh 79,76.97772217,28.36665916,6324768,4.9,4,30003,753,232,27,16,0.12,0.07,480.97,2.5,22,surplus
Gurgaon,Sector 57,06be5e4b697d1d179f75,350689,Vohra Luxury Builder Floors,77.07518768,28.42326927,30000100,7.84,13.5,284199,2012,600,29,47,0.05,0.08,169.57,3.5,21,surplus
Gurgaon,Sector 36,e706681c7dfc5fd72048,35605,AVL 36,76.9805069,28.41450119,5822000,31.81,14.5,240546,2637,1197,53,91,0.04,0.08,495.47,1.5,21,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,331544,Nehra Lotus Avenue,77.38670349,28.58790016,4300200,10.54,6.5,20171,516,112,32,13,0.29,0.12,742.87,2.5,21,surplus
Noida,Sector 110,6197925ab00826f0f32f,354624,JMD DM Infra,77.38339996,28.53219986,6499850,20.26,13.5,4899,156,342,41,38,0.12,0.11,247.26,2.5,21,surplus
Gurgaon,Sector 88B,137a88aef60a9f131fda,86924,Vatika Xpressions,76.95444489,28.44527817,18640075,7.64,13.5,83365,1508,266,28,23,0.11,0.09,178.15,2.5,20,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,345696,Paradise Homes,77.38671875,28.58792114,3200000,40.09,13.5,54328,466,271,60,32,0.22,0.12,742.87,1.5,20,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,255585,Signature Global Park II,77.06451416,28.28798294,9499456,10.77,12.5,38250,743,450,31,33,0.07,0.07,515.51,2.5,20,surplus
Gurgaon,Sector 81,a8888c394dbcc6108569,262854,Landmark The Homes 81,76.94081879,28.38856697,6265137,4.9,4,60814,698,426,25,26,0.06,0.06,521.97,2,20,surplus
Gurgaon,Sector 82,687fcb5c47fc02d36f16,33585,Vatika The Seven Lamps,76.9576416,28.39210129,30025553,8.06,11.5,155218,1939,555,28,46,0.05,0.08,179.07,2.5,20,surplus
Gurgaon,Sector 81,a8888c394dbcc6108569,288501,Signature Global City 81 Phase 2,76.9489975,28.39249992,10649924,15.07,14,56880,372,317,35,22,0.11,0.07,386.01,2,20,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,202175,Signature Global Global Park 2 And 3,77.06464386,28.28791046,8611712,87.57,13.5,362010,5284,1329,108,98,0.08,0.07,515.51,2,20,surplus
Gurgaon,Sector 7,5619c8d6480f1c04f551,356588,Surendra Homes Sector 7,77.01429749,28.46439934,24999750,3.09,6,16789,30,420,23,29,0.05,0.07,319.31,3,20,surplus
Gurgaon,Sector 67,b367b4f7048c1e1e1a64,272844,Trehan Luxury Floors,77.05949402,28.38701248,28971515,9.5,10,16375,365,189,29,15,0.15,0.08,166.08,3.5,20,surplus
Gurgaon,Palam Vihar,ddf026e221e7d54728db,299972,Ahuja Builders 2,77.038414,28.51324272,39985560,6.71,13,21615,374,95,26,11,0.27,0.11,142.74,3.5,19,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,107997,Ramprastha Skyz,76.97123718,28.4487896,14062500,7.41,11.5,61674,597,151,26,13,0.17,0.09,331.04,3,19,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,284472,Signature Global Park V,77.06326294,28.29654312,10837565,6.45,12.5,76739,691,236,25,19,0.11,0.08,379.54,2.5,19,surplus
Noida,Sector 143B,b20847e65e58f3fd18de,4340,Sikka Karnam Greens,77.42124939,28.49977303,11308704,23.47,14,201664,2366,404,41,39,0.10,0.10,364.91,2.5,18,surplus
Noida,Sector 110,6197925ab00826f0f32f,354524,JMD Tower 110,77.38339996,28.53219986,6799800,10.48,12.5,41139,1165,301,28,33,0.09,0.11,247.26,3,18,surplus
Gurgaon,Sector 106,d02acb3cc829f2db86a6,295906,MRG Crown,77.00029755,28.5007,20374704,4.07,6.5,6345,154,140,22,12,0.16,0.09,207.96,3,18,surplus
Noida,Sector 137,5df4eb2660d0207c62b9,3414,Paramount Floraville,77.40660095,28.50983429,11357238,27.86,13.5,54012,560,314,45,29,0.14,0.09,400.74,2.5,17,surplus
Gurgaon,Sector 93,c5b52306d6de50f89eda,181986,MRG The Balcony,76.9270401,28.41672897,7959471,6.74,4.5,10136,162,267,24,22,0.09,0.08,451.57,2,17,surplus
Noida,Sector 120,9822e2b5409eb7501f34,306004,RG Mirage Tower M,77.39790344,28.58779907,32996730,7.26,12.5,2304,80,65,23,13,0.35,0.21,140.64,3.5,16,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,269451,Signature Global Park 1,77.06326294,28.29654312,9759395,31.91,12,59311,1796,650,48,48,0.07,0.07,515.51,2.5,16,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,295136,SAP Home 3,77.38646698,28.58844566,5170725,44.62,14,60963,1631,443,61,53,0.14,0.12,742.87,2.5,16,surplus
Gurgaon,Sector 82,687fcb5c47fc02d36f16,77385,Vatika India Next Plot,76.95574951,28.39460945,66245940,7.6,12.5,2179,154,88,24,7,0.27,0.08,179.07,1,16,surplus
Gurgaon,Sector 92,e0930a6b895918ca0874,290226,Signature Global City 92 Phase 1,76.92469788,28.40752983,14508732,10.77,12.5,60275,1061,385,26,29,0.07,0.07,244.37,1,15,surplus
Gurgaon,Sector 48,b72e60e2c222ac161359,321841,Paramount Luxury Builder Floors 28,77.03937531,28.41120529,31802500,13.68,8.5,15588,176,152,29,12,0.19,0.08,262.57,3.5,15,surplus
Gurgaon,Sector 89A,971e124baf8647f7c55c,30234,ATS Marigold,76.9461441,28.43748283,25102500,10.77,14,21750,125,253,26,22,0.10,0.09,192.31,3,15,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,353715,Networth Marvilla Homes,77.3770752,28.58616638,3099800,37.23,14,179953,1371,461,52,55,0.11,0.12,742.87,1.5,15,surplus
Gurgaon,Sector 86,fe5388b6cc76451a5b11,33375,DLF New Town Heights 1,76.93584442,28.40096092,20114205,6.77,10.5,32116,583,214,22,19,0.10,0.09,190.9,3,15,surplus
Gurgaon,Sector 84,8b951771d86f3f5983c0,11811,The Antriksh Heights,76.96382141,28.40319443,15169425,21.76,14.5,266768,2257,446,36,34,0.08,0.08,255.12,3,14,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,298037,Adani Tatva Estates,76.95420074,28.45610046,89028270,7.67,13,5116,274,141,22,15,0.16,0.11,154.57,1,14,surplus
Gurgaon,Sector 65,ad46b362716dededbce0,134216,M3M Skycity,77.06183624,28.40607262,25499793,9.16,11,41762,493,212,23,16,0.11,0.08,190.44,2.5,14,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,107996,Ramprastha The Edge Towers,76.96847534,28.44656563,16791790,7.41,11.5,12680,179,191,21,17,0.11,0.09,331.04,3,14,surplus
Noida,Sector 70,620013d109c88f155e96,148718,Amrapali Pan Oasis,77.38098907,28.59433746,25873900,8.12,10.5,23562,180,143,22,15,0.15,0.11,179.64,3,14,surplus
Noida,Sector 134,106bcdd46a75383b104d,36924,Jaypee Kosmos,77.38182068,28.50324249,12241700,4.9,4,50883,840,233,18,20,0.08,0.08,279.41,3,13,surplus
Gurgaon,Sector 95A,b982df087daed28dd3bc,292896,JMS The Pride,76.91766357,28.42634773,20150496,7.67,13,800,56,127,21,9,0.17,0.07,275.06,1,13,surplus
Noida,Sector 143,0ad262ac30f7b3b67b65,3322,Gulshan Ikebana,77.42799377,28.5031395,14857588,4.84,7.5,7042,245,157,18,15,0.11,0.09,252.3,2.5,13,surplus
Noida,Sector 74,ed4a7ece4bfbf1b8f19c,338087,Evermark Gold Avenue,77.38674164,28.5879364,6000100,17.78,14.5,52400,1233,228,31,33,0.14,0.15,273.41,3,13,surplus
Gurgaon,Sector 78,80de3be8e9ffe90c0cb3,308110,GLF Palm Meadows,76.96459961,28.37030029,19305000,7.67,13,6776,147,128,20,11,0.16,0.09,170.73,1,12,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,328939,JMD V And V Homes,77.38700104,28.5848999,5449750,11.88,11.5,47437,611,161,24,19,0.15,0.12,742.87,3,12,surplus
Noida,Sector 144,18db7eafec64fa75f603,356683,Dream Shyam City,77.43539429,28.49266624,2275425,12.06,5.5,5475,379,125,24,11,0.19,0.09,462.25,1,12,surplus
Gurgaon,Sector 85,15c80ebb64fc90e96950,350,Orris Aster Court,76.95355225,28.40575981,16394430,8.58,12.5,118905,1866,253,20,18,0.08,0.07,473.08,3,11,surplus
Gurgaon,Sector 63,3f92611a90726707361f,322007,CBS Luxury Builder Floors,77.08802032,28.39538383,34308900,1.55,3,591,38,43,13,4,0.30,0.09,152.55,3.5,11,surplus
Gurgaon,Sector 45,d584b29a8a398c936329,297355,Bargainer Greenwood Luxurious Floor,77.06600189,28.44659996,43750000,1.55,3,580,12,25,13,7,0.52,0.30,97.57,3.5,11,surplus
